Subject;Lextale;Num_Mistakes;Experiment;Outcome;Language
113;73,75;0;2;Non-lexical;L1
113;73,75;0;2;Non-lexical;L2
114;77,5;0;2;Lexical;L1
114;77,5;0;2;Lexical;L2
114;77,5;0;2;Non-lexical;L1
114;77,5;0;2;Non-lexical;L2
115;65;0;2;Lexical;L1
115;65;0;2;Lexical;L2
115;65;0;2;Non-lexical;L1
115;65;0;2;Non-lexical;L2
116;77,5;0;2;Lexical;L1
116;77,5;0;2;Lexical;L2
116;77,5;0;2;Non-lexical;L1
116;77,5;0;2;Non-lexical;L2
117;63,75;0;2;Lexical;L1
117;63,75;0;2;Lexical;L2
117;63,75;0;2;Non-lexical;L1
117;63,75;0;2;Non-lexical;L2
118;61,25;0;2;Lexical;L1
118;61,25;1;2;Lexical;L2
118;61,25;0;2;Non-lexical;L1
118;61,25;0;2;Non-lexical;L2
119;70;0;2;Lexical;L2
119;70;1;2;Lexical;L1
119;70;0;2;Non-lexical;L1
119;70;0;2;Non-lexical;L2
120;88,75;0;2;Lexical;L2
120;88,75;1;2;Lexical;L1
120;88,75;0;2;Non-lexical;L1
120;88,75;0;2;Non-lexical;L2
121;60;0;2;Lexical;L1
121;60;0;2;Lexical;L2
121;60;0;2;Non-lexical;L1
121;60;0;2;Non-lexical;L2
122;70;0;2;Lexical;L1
122;70;0;2;Lexical;L2
122;70;0;2;Non-lexical;L1
122;70;0;2;Non-lexical;L2
123;83,75;0;2;Lexical;L1
123;83,75;0;2;Lexical;L2
123;83,75;0;2;Non-lexical;L1
123;83,75;0;2;Non-lexical;L2
124;60;0;2;Lexical;L1
124;60;0;2;Lexical;L2
124;60;0;2;Non-lexical;L2
124;60;1;2;Non-lexical;L1
125;60;0;2;Lexical;L2
125;60;1;2;Lexical;L1
125;60;0;2;Non-lexical;L1
125;60;0;2;Non-lexical;L2
126;78,75;0;2;Lexical;L1
126;78,75;0;2;Lexical;L2
126;78,75;0;2;Non-lexical;L1
126;78,75;0;2;Non-lexical;L2
127;56,25;0;2;Lexical;L2
127;56,25;3;2;Lexical;L1
127;56,25;0;2;Non-lexical;L2
127;56,25;1;2;Non-lexical;L1
128;65;0;2;Lexical;L1
128;65;0;2;Lexical;L2
128;65;0;2;Non-lexical;L1
128;65;0;2;Non-lexical;L2
129;70;0;2;Lexical;L1
129;70;0;2;Lexical;L2
129;70;0;2;Non-lexical;L1
129;70;0;2;Non-lexical;L2
130;71,25;0;2;Lexical;L2
130;71,25;2;2;Lexical;L1
130;71,25;0;2;Non-lexical;L1
130;71,25;0;2;Non-lexical;L2
131;96,25;0;2;Lexical;L1
131;96,25;1;2;Lexical;L2
131;96,25;0;2;Non-lexical;L1
131;96,25;0;2;Non-lexical;L2
132;87,5;0;2;Lexical;L1
132;87,5;0;2;Lexical;L2
132;87,5;0;2;Non-lexical;L1
132;87,5;0;2;Non-lexical;L2
133;83,75;0;2;Lexical;L2
133;83,75;1;2;Lexical;L1
133;83,75;0;2;Non-lexical;L1
133;83,75;0;2;Non-lexical;L2
134;92,5;0;2;Lexical;L1
134;92,5;0;2;Lexical;L2
134;92,5;0;2;Non-lexical;L1
134;92,5;0;2;Non-lexical;L2
135;65;0;2;Lexical;L1
135;65;0;2;Lexical;L2
135;65;0;2;Non-lexical;L1
135;65;0;2;Non-lexical;L2
136;86,25;0;2;Lexical;L1
136;86,25;1;2;Lexical;L2
136;86,25;0;2;Non-lexical;L1
136;86,25;0;2;Non-lexical;L2
137;66,25;0;2;Lexical;L1
137;66,25;0;2;Lexical;L2
137;66,25;0;2;Non-lexical;L1
137;66,25;0;2;Non-lexical;L2
138;61,25;0;2;Lexical;L2
138;61,25;1;2;Lexical;L1
138;61,25;0;2;Non-lexical;L1
138;61,25;0;2;Non-lexical;L2
139;65;0;2;Lexical;L1
139;65;0;2;Lexical;L2
139;65;0;2;Non-lexical;L1
139;65;0;2;Non-lexical;L2
140;83,75;0;2;Lexical;L1
140;83,75;0;2;Lexical;L2
140;83,75;0;2;Non-lexical;L1
140;83,75;0;2;Non-lexical;L2
141;92,5;0;2;Lexical;L1
141;92,5;1;2;Lexical;L2
141;92,5;0;2;Non-lexical;L1
141;92,5;0;2;Non-lexical;L2
142;82,5;0;2;Lexical;L1
142;82,5;0;2;Lexical;L2
142;82,5;0;2;Non-lexical;L1
142;82,5;0;2;Non-lexical;L2
143;58,75;0;2;Lexical;L1
143;58,75;0;2;Lexical;L2
143;58,75;0;2;Non-lexical;L1
143;58,75;0;2;Non-lexical;L2
144;62,5;0;2;Lexical;L2
144;62,5;2;2;Lexical;L1
144;62,5;0;2;Non-lexical;L1
144;62,5;0;2;Non-lexical;L2
145;63,75;0;2;Lexical;L1
145;63,75;0;2;Lexical;L2
145;63,75;0;2;Non-lexical;L1
145;63,75;0;2;Non-lexical;L2
146;67,5;0;2;Lexical;L1
146;67,5;1;2;Lexical;L2
146;67,5;1;2;Non-lexical;L1
146;67,5;0;2;Non-lexical;L2
147;60;1;2;Lexical;L1
147;60;0;2;Lexical;L2
147;60;1;2;Non-lexical;L2
147;60;1;2;Non-lexical;L1
148;72,5;0;2;Lexical;L1
148;72,5;0;2;Lexical;L2
148;72,5;0;2;Non-lexical;L1
148;72,5;0;2;Non-lexical;L2
149;72,5;0;2;Lexical;L2
149;72,5;1;2;Lexical;L1
149;72,5;1;2;Non-lexical;L1
149;72,5;0;2;Non-lexical;L2
150;68,75;0;2;Lexical;L1
150;68,75;0;2;Lexical;L2
150;68,75;0;2;Non-lexical;L1
150;68,75;0;2;Non-lexical;L2
151;70;0;2;Lexical;L1
151;70;0;2;Lexical;L2
151;70;0;2;Non-lexical;L1
151;70;1;2;Non-lexical;L2
152;67,5;0;2;Lexical;L1
152;67,5;0;2;Lexical;L2
152;67,5;1;2;Non-lexical;L1
152;67,5;0;2;Non-lexical;L2
153;93,75;0;2;Lexical;L1
153;93,75;1;2;Lexical;L2
153;93,75;0;2;Non-lexical;L1
153;93,75;0;2;Non-lexical;L2
154;76,25;0;2;Lexical;L1
154;76,25;0;2;Lexical;L2
154;76,25;0;2;Non-lexical;L1
154;76,25;0;2;Non-lexical;L2
155;62,5;0;2;Lexical;L1
155;62,5;1;2;Lexical;L2
155;62,5;0;2;Non-lexical;L1
155;62,5;0;2;Non-lexical;L2
156;75;0;2;Lexical;L1
156;75;0;2;Lexical;L2
156;75;0;2;Non-lexical;L1
156;75;0;2;Non-lexical;L2
157;68,75;0;2;Lexical;L1
157;68,75;1;2;Lexical;L2
157;68,75;0;2;Non-lexical;L2
157;68,75;0;2;Non-lexical;L1
158;73,75;0;2;Lexical;L1
